area,perimeter,circularity,solidity,extent,eccentricity,hu1,hu2,hu3,hu4,hu5,hu6,hu7,mean_h,mean_s,mean_v,mean_b,mean_g,mean_r,glcm_contrast,glcm_homogeneity,glcm_energy,glcm_correlation,split
82316.5,2543.325024008751,0.1599164100516467,0.5254199964255624,0.424749742002064,0.8989708326222058,2.7123825327596984,5.613316232884545,8.94797231812128,9.847517673063434,-19.28736547053384,-12.662514572797868,-19.622195695623102,123.79541779944189,10.429608249398182,162.32962860941112,161.4709270991772,156.3648274788316,159.30851407835013,0.12116685704243915,0.9822362109429823,0.6361578340034798,0.9876918201732405,train
83800.0,2304.430581688881,0.19830178458083406,0.5352255707529244,0.4324045407636739,0.8866373551632912,2.7221276107754013,5.634155124137549,8.974292167211713,9.878866835661917,-19.330638634939124,-12.711175458981074,-19.78566398797202,114.3874783510256,9.494821918776582,161.67793395148274,160.83823650694535,156.57119125322527,158.63177303627603,0.10507708926642442,0.9828860596031888,0.632695170592514,0.9893499986198675,train
87203.5,2407.241763830185,0.18910558752767026,0.557775766511131,0.4499664602683179,0.8838956545428045,2.7377985878739373,5.671059978197141,9.168827866443626,9.937635387071278,-21.461784882884903,-12.863650152810996,-19.490891841910532,119.80991361253581,13.158611007325385,162.86288962105002,159.86579939540098,154.51466775358628,159.94809958900854,0.11244230580379062,0.9815559706057406,0.6205429640850236,0.9886095499706115,train
77760.0,2616.6214874982834,0.1427198264788348,0.5033938299297929,0.40123839009287926,0.8905496098089857,2.6820312896185374,5.548609616708225,8.834586052608335,9.72453921261758,-19.030272785652897,-12.512985471752147,-19.476523401199476,118.29618701482897,13.382716831081337,161.6458267377512,158.18073372421392,153.189762812314,158.77691947269113,0.13016017407753894,0.9822123559906346,0.6516447861488429,0.9859594172558083,train
79342.5,2491.1240141391754,0.16066639454409004,0.5129013177670684,0.40940402476780186,0.9056752064903083,2.693848891425376,5.573260147222002,8.914929457156545,9.787324248750394,-19.315939108382526,-12.575974550743425,-19.264976388951435,118.57280045717694,13.383245956220339,161.86790319775386,158.4949934156583,153.36879767436082,158.992881457003,0.12305855476361532,0.9808729004163087,0.6466411084002003,0.9868072746208091,train
76473.5,2279.3595138788223,0.18496739114983235,0.4991498457973663,0.3946001031991744,0.8803701188032778,2.6569875642176175,5.516594262784515,8.64832608633624,9.573434791670918,-18.696770962166383,-12.438870984565256,19.311205866626043,116.30958614374701,14.006306503823883,163.30111298830266,159.62565934561962,154.27935619494707,160.30456931350676,0.10880363040568129,0.981440250699646,0.6537018262755109,0.9884567369933369,train
80725.5,2327.50164937973,0.18725810012900354,0.5190816379022094,0.41654024767801856,0.8877250456366681,2.6849538647957023,5.575060909509459,8.684510673976705,9.561011213299981,-18.875073374429746,-12.712306507444334,18.799963774800247,117.12315891117548,13.868541674306039,163.9850023834843,160.29968342439466,154.95679170791928,161.15512204661852,0.11081937387906574,0.9806112911055617,0.6383074331192782,0.9886596035313455,train
82261.5,2479.4671590328217,0.16814724951847215,0.5286389049546945,0.4244659442724458,0.8800336275323936,2.69709368073333,5.598738301966975,8.703994569221598,9.54100178637901,-19.14945567330494,-13.08719274718083,18.6879967684184,116.61672741223863,13.714044216382122,164.27250383656244,160.7121858814502,155.3440437368118,161.3576515442164,0.12126505992960404,0.9809943618820127,0.6335586328569388,0.9877612535533986,train
79269.0,2336.0874359607697,0.18253033721804768,0.5157904668330248,0.4090247678018576,0.8973151612919643,2.671240814392831,5.547342007609699,8.677283620983262,9.586786180747875,-18.76944394482518,-12.53382261216155,19.059844809705385,114.0380657284006,9.857642388720897,162.7035253418947,161.61707793581465,157.310959296176,159.6359303642314,0.11316590602500556,0.9816446081247583,0.6445051168021427,0.9885259547459158,train
79588.5,2344.614347100258,0.18193545754846507,0.517362758800013,0.4106733746130031,0.8997950400821078,2.6729176678568725,5.551575847919349,8.680439896743176,9.589834089482427,-18.78060075426034,-12.546754431609632,19.047916342419672,113.37767724343084,9.744484382746654,162.5888696083292,161.50355726326228,157.35996529499258,159.49747149231533,0.10730474423316466,0.9820107816432961,0.6436928138563762,0.9891383190199575,train
