Modelo,Acurácia,Precisão (Macro),Recall (Macro),F1-Score (Macro)
Regressão Logística,0.9166666666666666,0.9226190476190477,0.9166666666666667,0.9163752913752914
Random Forest,0.9583333333333334,0.9642857142857143,0.9583333333333334,0.9580419580419581
